Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Cyprus,CYP,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3782357127.58505,4404755913.96785,5080753395.08791,5613645864.44211,5717894741.84233,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188727000000,194159000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306335417699.902,348123303150.069,409984507856,461548294074.638,513413742503.183,668358000000,702075333745.776,728437543140.252,747442262364.316,394942300711.207,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553347000000,614981000000,726424000000,747563000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49308900000,49260400000,,57544200000,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
